INDEX	DATE	SPOT	FUTURES	RETSPOT	RETFUTURES
4      89.05300    34076.89000    34195.00000       -0.24602       -0.29201
4      89.05310    34266.75000    34310.00000        0.55561        0.33574
5      89.06010    33981.35000    34100.00000       -0.83637       -0.61395
5      89.06020    33667.42000    33865.00000       -0.92812       -0.69154
5      89.06050    33457.08000    33750.00000       -0.62672       -0.34016
5      89.06060    33452.01000    33650.00000       -0.01515       -0.29674
5      89.06070    33626.89000    33780.00000        0.52142        0.38559
5      89.06080    33718.29000    33890.00000        0.27144        0.32511
5      89.06090    33639.98000    33810.00000       -0.23252       -0.23634
5      89.06120    33398.01000    33560.00000       -0.72189       -0.74217
5      89.06130    33213.55000    33805.00000       -0.55384       -0.56047
5      89.06140    33402.99000    33850.00000        0.56875        0.13303
5      89.06150    32913.09000    33380.00000       -1.47750       -1.39821
5      89.06160    33055.17000    33435.00000        0.43075        0.16463
5      89.06190    33013.18000    33545.00000       -0.12711        0.32846
5      89.06200    33233.47000    33800.00000        0.66506        0.75730
5      89.06210    33345.28000    33800.00000        0.33587        0.00000
5      89.06220    33324.97000    33820.00000       -0.06093        0.05915
5      89.06230    33530.71000    33920.00000        0.61548        0.29525
5      89.06260    33625.82000    33935.00000        0.28325        0.04421
5      89.06270    33469.21000    33790.00000       -0.46683       -0.42820
5      89.06280    33245.60000    33455.00000       -0.67035       -0.99636
5      89.06290    32956.31000    33390.00000       -0.87397       -0.19448
5      89.06300    32948.69000    33110.00000       -0.02312       -0.84211
6      89.07030    33236.42000    33485.00000        0.86948        1.12622
6      89.07040    33190.38000    33485.00000       -0.13862        0.00000
6      89.07050    33309.71000    33570.00000        0.35889        0.25352
6      89.07060    33423.48000    33590.00000        0.34097        0.05956
6      89.07070    33703.97000    33830.00000        0.83570        0.71196
6      89.07100    33676.02000    33850.00000       -0.08296        0.05910
6      89.07110    33746.77000    33935.00000        0.20987        0.25079
6      89.07120    33701.52000    33795.00000       -0.13418       -0.41341
6      89.07140    33574.77000    33675.00000       -0.37680       -0.35571
6      89.07170    33456.22000    33580.00000       -0.35372       -0.28251
6      89.07180    33343.73000    33450.00000       -0.33680       -0.38789
6      89.07190    33557.17000    33665.00000        0.63808        0.64069
6      89.07200    33664.87000    33745.00000        0.32043        0.23735
6      89.07210    33899.43000    33945.00000        0.69433        0.59093
6      89.07240    34093.33000    34225.00000        0.57036        0.82148
6      89.07250    34538.90000    34550.00000        1.29845        0.94512
6      89.07260    34515.83000    34575.00000       -0.06682        0.07233
6      89.07270    34785.28000    34845.00000        0.77762        0.77788
6      89.07280    34705.63000    34710.00000       -0.22924       -0.38818
6      89.07310    34953.87000    34958.00000        0.71273        0.71195
7      89.08010    34898.46000    34920.00000       -0.15865       -0.10876
7      89.08020    34899.34000    34990.00000        0.00252        0.20026
7      89.08030    34779.81000    34855.00000       -0.34309       -0.38657
7      89.08040    34741.99000    34815.00000       -0.10880       -0.11483
7      89.08070    34630.38000    34855.00000       -0.32177        0.11483
7      89.08080    34759.48000    34995.00000        0.37210        0.40086
7      89.08100    34719.80000    34885.00000       -0.11422       -0.31483
7      89.08110    34712.96000    34925.00000       -0.01970        0.11460
7      89.08140    34671.62000    34860.00000       -0.11916       -0.18629
7      89.08150    34810.69000    35100.00000        0.40030        0.68611
7      89.08160    35084.15000    35320.00000        0.78249        0.62482
7      89.08170    35090.11000    35320.00000        0.01699        0.00000
7      89.08180    35063.14000    35300.00000       -0.07689       -0.05664
7      89.08210    35140.83000    35445.00000        0.22133        0.40992
7      89.08220    35114.35000    35330.00000       -0.07538       -0.32497
7      89.08230    34893.28000    35155.00000       -0.63156       -0.49656
7      89.08240    34786.55000    34965.00000       -0.30634       -0.54193
7      89.08250    34739.93000    35020.00000       -0.13411        0.15718
7      89.08280    34607.41000    34910.00000       -0.38219       -0.31460
7      89.08290    34687.65000    35060.00000        0.23159        0.42876
7      89.08300    34471.66000    34625.00000       -0.62462       -1.24849
7      89.08310    34431.20000    34555.00000       -0.11744       -0.20237
8      89.09010    34348.22000    34460.00000       -0.24129       -0.27530
8      89.09040    34483.78000    34770.00000        0.39389        0.89557
8      89.09050    34441.95000    34475.00000       -0.12138       -0.85205
8      89.09060    34271.31000    34390.00000       -0.49667       -0.24686
8      89.09070    34152.56000    34350.00000       -0.34710       -0.11638
8      89.09080    34115.81000    34325.00000       -0.10766       -0.07281
8      89.09110    34113.66000    34220.00000       -0.00630       -0.30637
8      89.09120    34332.88000    34945.00000        0.64056        0.53081
8      89.09130    34286.94000    34905.00000       -0.13390       -0.11453
8      89.09140    34401.88000    35020.00000        0.33467        0.32892
8      89.09180    34472.54000    35070.00000        0.20519        0.14267
8      89.09190    34471.07000    35135.00000       -0.00426        0.18517
8      89.09200    34470.58000    35130.00000       -0.00142       -0.01423
8      89.09210    34745.02000    35380.00000        0.79300        0.70912
8      89.09220    34771.79000    35430.00000        0.07702        0.14122
8      89.09250    34960.71000    35660.00000        0.54184        0.64707
8      89.09260    35444.82000    35865.00000        1.37523        0.57323
8      89.09270    35370.57000    35845.00000       -0.20970       -0.05578
8      89.09280    35689.98000    36030.00000        0.89899        0.51478
8      89.09290    35636.76000    35895.00000       -0.14923       -0.37539
9      89.10020    35622.97000    35835.00000       -0.03870       -0.16729
9      89.10030    35366.37000    35580.00000       -0.72293       -0.71414
9      89.10040    35382.80000    35695.00000        0.04645        0.32269
9      89.10050    35522.99000    35715.00000        0.39543        0.05601
9      89.10060    35209.35000    35605.00000       -0.88684       -0.30847
9      89.10090    35376.35000    35770.00000        0.47318        0.46235
9      89.10110    35240.07000    35595.00000       -0.38597       -0.49044
9      89.10120    34795.05000    35345.00000       -1.27087       -0.70482
9      89.10130    35116.02000    35510.00000        0.91823        0.46574
9      89.10160    34468.69000    34920.00000       -1.86061       -1.67546
9      89.10170    34996.08000    35370.00000        1.51847        1.28043
9      89.10180    35107.56000    35305.00000        0.31804       -0.18394
9      89.10190    35374.22000    35550.00000        0.75668        0.69156
9      89.10200    35486.38000    35680.00000        0.31657        0.36502
9      89.10230    35585.52000    35845.00000        0.27899        0.46138
9      89.10240    35526.55000    35855.00000       -0.16585        0.02789
9      89.10250    35442.40000    35720.00000       -0.23715       -0.37723
9      89.10260    35678.49000    35855.00000        0.66391        0.37723
9      89.10270    35527.29000    35665.00000       -0.42469       -0.53132
9      89.10300    35417.44000    35630.00000       -0.30968       -0.09818
9      89.10310    35549.44000    35770.00000        0.37200        0.39216
