Period	E-YieldGap	Sub12MDiff
199303	-1.587412542	-3.930064776
199304	-1.46285559	-3.499211054
199305	-1.632972096	3.507330438
199306	-1.669498637	4.598616127
199307	-1.496521405	1.884924903
199308	-1.510098734	-1.406109454
199309	-0.912700533	-3.629235309
199310	-0.96730508	-6.53835984
199311	-1.30024265	-4.654984699
199312	-1.077106511	-3.9966908
199401	-1.204827432	-4.672789049
199402	-1.284037671	-5.153123293
199403	-1.385443862	-3.999290888
199404	-1.933519132	-6.436768048
199405	-2.205193548	-7.085787208
199406	-1.42777147	-6.014559176
199407	-1.800936185	-10.10575712
199408	-1.940204533	-10.60756515
199409	-1.553239527	-5.524062296
199410	-1.95403725	-4.530389275
199411	-1.936065132	-4.569700967
199412	-1.147251331	-2.199809985
199501	-1.275175391	1.150123505
199502	-1.191660767	-0.435194033
199503	-0.699233023	-1.537725658
199504	-0.736052483	1.510416698
199505	-0.527638967	-2.656111207
199506	0.150329082	-6.346416851
199507	-0.154318749	-3.191912112
199508	-0.362357112	0.360645804
199509	-0.180253937	-0.832778844
199510	0.009869764	-3.445900935
199511	-0.11867799	1.701187269
199512	-0.196387215	0.01605333
199601	-0.310544724	-1.476818926
199602	-0.507313511	-3.796233114
199603	-0.996569592	0.217620792
199604	-1.306460041	0.605910496
199605	-1.652721224	0.509510415
199606	-1.704447832	1.363984368
199607	-1.414887715	1.866502292
199608	-1.285625098	-2.997976537
199609	-1.592187409	0.190023031
199610	-1.425570283	6.020098178
199611	-1.444509963	2.720964065
199612	-1.071445279	3.162636952
199701	-1.653521922	4.705043795
199702	-1.522551233	1.522716692
199703	-1.375122968	-2.256529835
199704	-1.868411401	-2.286442104
199705	-1.966283252	0.09975463
199706	-1.908804628	3.910673506
